File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
00314	0.32787	0.13699	0.04348	0.01562	0.00000	
00405	0.60000	0.26667	0.21429	0.07692	0.00000	
00486	0.26667	0.00000	0.00000	0.00000	0.00000	
01018	0.30303	0.02857	0.00000	0.00000	0.00000	
02358	0.63158	0.36364	0.22727	0.09524	0.00000	
02571	0.48718	0.15556	0.00000	0.00000	0.00000	
02747	0.30769	0.00000	0.00000	0.00000	0.00000	
04954	0.27778	0.03448	0.00000	0.00000	0.00000	
05062	0.25000	0.03846	0.00000	0.00000	0.00000	
05146	0.25000	0.12245	0.02174	0.00000	0.00000	
05585	0.43333	0.17500	0.05000	0.01282	0.00000	
05765	0.37500	0.15385	0.03846	0.00000	0.00000	
08416	0.41071	0.22973	0.14865	0.12857	0.10606	
08512	0.31746	0.13253	0.07143	0.03659	0.02564	
08606	0.07692	0.04118	0.03049	0.01290	0.00685	
09329	0.78947	0.40000	0.10526	0.00000	0.00000	
09696	0.22222	0.02740	0.00000	0.00000	0.00000	
10184	0.41176	0.15789	0.05405	0.00000	0.00000	
10782	0.41667	0.00000	0.00000	0.00000	0.00000	
10995	0.29310	0.08108	0.01351	0.00000	0.00000	
11148	0.38710	0.02703	0.00000	0.00000	0.00000	
12251	0.42308	0.11538	0.00000	0.00000	0.00000	
12868	0.41935	0.11429	0.03030	0.00000	0.00000	
12957	0.37838	0.08511	0.00000	0.00000	0.00000	
13119	0.48889	0.22581	0.09836	0.03448	0.00000	
13419	0.25926	0.06452	0.00000	0.00000	0.00000	
15133	0.42857	0.15385	0.08333	0.00000	0.00000	
15357	0.39623	0.06349	0.00000	0.00000	0.00000	
16646	0.27381	0.10526	0.05172	0.03540	0.02752	
16656	0.32787	0.11688	0.03846	0.01351	0.00000	
16776	0.33898	0.14085	0.02941	0.00000	0.00000	
16929	0.37500	0.11594	0.04348	0.00000	0.00000	
16953	0.45946	0.12821	0.00000	0.00000	0.00000	
19552	0.47619	0.08696	0.04762	0.00000	0.00000	
21105	0.27273	0.00000	0.00000	0.00000	0.00000	
22703	0.44262	0.26829	0.17722	0.12000	0.09859	
23043	0.33333	0.12500	0.00000	0.00000	0.00000	
23051	0.31034	0.14286	0.01266	0.00000	0.00000	
23259	0.52941	0.12500	0.00000	0.00000	0.00000	
23663	0.40625	0.14706	0.03030	0.00000	0.00000	
23809	0.00000	0.00000	0.00000	0.00000	0.00000	
24152	0.29825	0.02899	0.00000	0.00000	0.00000	
24933	0.43750	0.00000	0.00000	0.00000	0.00000	
25133	0.38636	0.10417	0.02174	0.00000	0.00000	
25605	0.48485	0.09375	0.00000	0.00000	0.00000	
25717	0.34783	0.09259	0.00000	0.00000	0.00000	
27488	0.39535	0.07273	0.00000	0.00000	0.00000	
28076	0.33333	0.07143	0.00000	0.00000	0.00000	
28300	0.40000	0.14815	0.04000	0.00000	0.00000	
28391	0.33871	0.09524	0.05263	0.00000	0.00000	
28987	0.40000	0.15217	0.06383	0.03226	0.01099	
29089	0.19318	0.04237	0.00847	0.00000	0.00000	
29605	0.20833	0.00000	0.00000	0.00000	0.00000	
29772	0.65000	0.36842	0.17647	0.06667	0.00000	
30569	0.37931	0.15625	0.09375	0.06667	0.03704	
30680	0.25926	0.09231	0.01538	0.00000	0.00000	
32245	0.18182	0.00000	0.00000	0.00000	0.00000	
32785	0.45161	0.20000	0.05882	0.03125	0.00000	
32864	0.26316	0.14286	0.08108	0.05634	0.04412	
32902	0.22892	0.04717	0.00943	0.00000	0.00000	
32933	0.51515	0.32967	0.24211	0.17582	0.13793	
33131	0.51220	0.24000	0.16667	0.10870	0.06977	
34413	0.61538	0.28571	0.07692	0.00000	0.00000	
35595	0.35526	0.15094	0.03774	0.01000	0.00000	
35926	0.20833	0.03774	0.02000	0.00000	0.00000	
35929	0.31915	0.12281	0.01754	0.00000	0.00000	
36220	0.37500	0.20000	0.10000	0.05263	0.00000	
36236	0.28571	0.00000	0.00000	0.00000	0.00000	
36415	0.46296	0.19672	0.08333	0.01786	0.00000	
36631	0.47170	0.16393	0.05172	0.01818	0.00000	
36926	0.30303	0.07500	0.01282	0.00000	0.00000	
37604	0.48649	0.09756	0.00000	0.00000	0.00000	
37669	0.26087	0.09474	0.03226	0.01124	0.00000	
37700	0.37500	0.00000	0.00000	0.00000	0.00000	
38011	0.22857	0.02778	0.00000	0.00000	0.00000	
38184	0.30000	0.10000	0.05263	0.00000	0.00000	
38329	0.65385	0.37500	0.24242	0.16129	0.13793	
40395	0.28000	0.01587	0.00000	0.00000	0.00000	
41564	0.29545	0.06667	0.02381	0.00000	0.00000	
41590	0.44000	0.23333	0.06667	0.03448	0.00000	
42347	0.38806	0.15385	0.03297	0.01163	0.00000	
42383	0.25301	0.05941	0.01020	0.00000	0.00000	
42430	0.36667	0.09375	0.00000	0.00000	0.00000	
42635	0.65217	0.16667	0.00000	0.00000	0.00000	
42651	0.28947	0.00000	0.00000	0.00000	0.00000	
43080	0.53333	0.28571	0.07692	0.00000	0.00000	
43526	0.50000	0.25000	0.10000	0.00000	0.00000	
43547	0.45588	0.16092	0.07059	0.05000	0.04000	
44618	0.45588	0.25275	0.13483	0.05882	0.02469	
45124	0.27500	0.11111	0.05051	0.01075	0.00000	
45576	0.40476	0.16327	0.06383	0.04545	0.02439	
46701	0.19048	0.00000	0.00000	0.00000	0.00000	
46832	0.40000	0.05556	0.00000	0.00000	0.00000	
47369	0.34783	0.00000	0.00000	0.00000	0.00000	
47379	0.25758	0.04938	0.00000	0.00000	0.00000	
47444	0.42105	0.10000	0.05263	0.00000	0.00000	
47855	0.42000	0.17188	0.00000	0.00000	0.00000	
48011	0.46875	0.29268	0.12500	0.05263	0.02778	
49000	0.32653	0.03448	0.00000	0.00000	0.00000	
50078	0.13333	0.00000	0.00000	0.00000	0.00000	
51018	0.45714	0.09091	0.00000	0.00000	0.00000	
51867	0.28571	0.00000	0.00000	0.00000	0.00000	
51952	0.56000	0.34483	0.24138	0.13793	0.10345	
52979	0.26596	0.05469	0.00000	0.00000	0.00000	
53182	0.37037	0.12857	0.08451	0.05970	0.03226	
53447	0.38776	0.16364	0.07547	0.03922	0.02083	
53707	0.22807	0.10294	0.02941	0.01538	0.00000	
55107	0.33333	0.00000	0.00000	0.00000	0.00000	
55691	0.50000	0.25000	0.09091	0.00000	0.00000	
56614	0.53333	0.00000	0.00000	0.00000	0.00000	
56615	0.40000	0.13333	0.00000	0.00000	0.00000	
57197	0.23333	0.04425	0.00901	0.00000	0.00000	
57458	0.46667	0.00000	0.00000	0.00000	0.00000	
57557	0.30435	0.04348	0.00000	0.00000	0.00000	
57811	0.35593	0.16216	0.05479	0.02899	0.01538	
58978	0.51020	0.24615	0.12500	0.06557	0.03509	
59445	0.23684	0.06604	0.01905	0.01000	0.00000	
59728	0.33333	0.14286	0.00000	0.00000	0.00000	
60516	0.22222	0.03846	0.00000	0.00000	0.00000	
60524	0.45161	0.26316	0.10526	0.05405	0.02778	
61103	0.52174	0.29167	0.12500	0.04348	0.00000	
61395	0.36667	0.15625	0.00000	0.00000	0.00000	
61511	0.70000	0.33333	0.16327	0.08511	0.02222	
62046	0.35000	0.09524	0.00000	0.00000	0.00000	
62103	0.42424	0.11111	0.02151	0.01111	0.00000	
62554	0.31148	0.09211	0.04225	0.01538	0.00000	
62811	0.43902	0.20000	0.08000	0.04255	0.02273	
62823	0.26000	0.08824	0.02941	0.01515	0.00000	
63449	0.24000	0.04545	0.00000	0.00000	0.00000	
64006	0.40000	0.05479	0.00000	0.00000	0.00000	
64179	0.34000	0.13115	0.04839	0.01639	0.00000	
64255	0.17164	0.03196	0.01064	0.00217	0.00000	
64309	0.26471	0.02857	0.00000	0.00000	0.00000	
64820	0.42857	0.15385	0.05263	0.02778	0.00000	
65605	0.56667	0.25714	0.02941	0.00000	0.00000	
66388	0.13846	0.03371	0.00000	0.00000	0.00000	
67316	0.70588	0.22222	0.17647	0.12500	0.06667	
67662	0.38710	0.18681	0.09278	0.03125	0.01099	
67792	0.35000	0.09524	0.05263	0.00000	0.00000	
