File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
56614	0.46667	0.15385	0.18182	0.22222	0.28571	
56615	0.33333	0.33333	0.23810	0.23077	0.23333	
57197	0.22222	0.11504	0.07808	0.06429	0.06122	
57458	0.40000	0.78571	0.74359	0.72917	0.74545	
57557	0.30435	0.39130	0.41270	0.43421	0.45882	
57811	0.30508	0.28378	0.21461	0.20290	0.19692	
58978	0.51020	0.39231	0.33333	0.29098	0.26316	
59445	0.21053	0.13208	0.08571	0.07000	0.05263	
59728	0.33333	0.64286	0.66667	0.80000	1.00000	
60516	0.18519	0.32692	0.37681	0.43750	0.49412	
60524	0.45161	0.35526	0.21930	0.17568	0.15000	
61103	0.52174	0.39583	0.27778	0.22826	0.18182	
61395	0.36667	0.32812	0.18280	0.18103	0.18519	
61511	0.50000	0.41176	0.34694	0.31915	0.26667	
62046	0.35000	0.45238	0.40000	0.39474	0.38889	
62103	0.34848	0.22222	0.12903	0.11111	0.09535	
62554	0.26230	0.15789	0.10798	0.08846	0.07931	
62811	0.41463	0.35000	0.25333	0.23404	0.20455	
62823	0.26000	0.16176	0.10294	0.09091	0.07812	
63449	0.21333	0.13068	0.09921	0.09810	0.10137	
64006	0.38333	0.25342	0.22066	0.20956	0.20000	
64179	0.30000	0.18033	0.11828	0.09426	0.08814	
64255	0.13433	0.07306	0.05106	0.04230	0.03848	
64309	0.26471	0.05714	0.02020	0.01613	0.01379	
64820	0.42857	0.24359	0.16667	0.14583	0.12353	
65605	0.53333	0.42857	0.27451	0.24219	0.23333	
66388	0.13846	0.09551	0.07018	0.07065	0.07045	
67316	0.70588	0.52778	0.49020	0.45312	0.41333	
67662	0.35484	0.27473	0.22680	0.16406	0.13407	
67792	0.30000	0.26190	0.24561	0.23529	0.25333	
68013	0.37143	0.20513	0.22523	0.23571	0.24848	
69193	0.38710	0.25714	0.20202	0.17742	0.15172	
70100	0.21918	0.16667	0.12585	0.11957	0.11628	
70347	0.50000	0.55556	0.52941	0.46875	0.41333	
70627	0.28947	0.15957	0.11111	0.12209	0.13171	
70723	0.44444	0.93750	0.95238	1.08333	1.28000	
70847	0.16667	0.22917	0.19048	0.19737	0.18889	
70895	0.46512	0.52041	0.48299	0.43889	0.40000	
70976	0.32258	0.17143	0.18182	0.18548	0.19310	
73543	0.22222	0.12500	0.14286	0.16667	0.20000	
73825	0.43750	0.35366	0.27778	0.22500	0.20526	
74848	0.26786	0.13889	0.10046	0.09859	0.08986	
75348	0.60000	1.37500	1.55556	2.12500	4.00000	
75839	0.28302	0.25385	0.22222	0.21552	0.20377	
76453	0.36111	0.29268	0.25203	0.24359	0.22162	
76769	0.23077	0.13559	0.08333	0.07692	0.08085	
76784	0.23529	0.20339	0.16384	0.14286	0.13208	
77404	0.32143	0.28846	0.28986	0.28571	0.26316	
77559	0.20000	0.12857	0.09804	0.10156	0.10667	
77997	0.22581	0.06250	0.06667	0.07143	0.07692	
78329	0.31579	0.24286	0.23232	0.19355	0.18596	
78839	0.35000	0.28571	0.21667	0.18421	0.18889	
78857	0.22642	0.08621	0.05952	0.05660	0.05200	
79970	0.34286	0.23171	0.18699	0.15000	0.14737	
80286	0.39437	0.28889	0.21318	0.17988	0.16962	
80379	0.27907	0.22549	0.15646	0.16304	0.16279	
81392	0.25000	0.20707	0.14626	0.13315	0.13023	
81394	0.36842	0.20896	0.17436	0.16803	0.16491	
81446	0.29268	0.28261	0.23016	0.23649	0.24375	
81572	0.17647	0.14167	0.11111	0.10849	0.11020	
82988	0.46429	0.41176	0.31250	0.25833	0.24286	
84359	0.62500	1.42857	1.86667	1.00000	1.50000	
84413	0.30435	0.18254	0.13757	0.12500	0.11864	
84712	0.18750	0.14953	0.09483	0.08696	0.07857	
84981	0.68750	0.50000	0.39583	0.32812	0.28750	
84999	0.33333	0.11818	0.12418	0.14362	0.16279	
85172	0.42857	0.00000	0.00000	0.00000	0.00000	
85964	0.30000	0.20000	0.19298	0.20588	0.22667	
86416	0.33784	0.26562	0.19355	0.16477	0.15122	
86654	0.53125	0.48649	0.36190	0.31061	0.25161	
87072	0.35000	0.36364	0.31667	0.23611	0.23750	
87850	0.24000	0.13672	0.09669	0.07617	0.06667	
89529	0.32432	0.30233	0.24390	0.22436	0.19444	
89933	0.24051	0.14062	0.09622	0.06868	0.06429	
89943	0.25714	0.12857	0.07808	0.05963	0.05333	
90078	0.25000	0.18085	0.14493	0.13636	0.12706	
90364	0.75000	0.87500	0.78788	0.77500	0.77778	
90735	0.26087	0.17647	0.12500	0.12778	0.13333	
91020	0.25275	0.27165	0.21951	0.19068	0.16250	
91166	0.19444	0.10227	0.04762	0.03947	0.03529	
91797	0.13462	0.08088	0.02817	0.03077	0.03051	
92667	0.51064	0.36207	0.24590	0.21121	0.19273	
92675	0.32877	0.21605	0.17949	0.17230	0.16857	
93075	0.28000	0.13559	0.09942	0.08796	0.09020	
93142	0.22857	0.11538	0.10526	0.11111	0.11176	
94177	0.18627	0.14650	0.09375	0.07803	0.06358	
94576	0.18868	0.10870	0.07246	0.06716	0.06667	
94649	0.39024	0.27083	0.21277	0.19767	0.18974	
95429	0.23077	0.12500	0.07407	0.07692	0.08000	
95465	0.40000	0.33333	0.41667	0.53571	0.63333	
95759	0.33333	0.27869	0.19118	0.16429	0.15882	
96215	0.43750	0.38235	0.29167	0.26667	0.24286	
96790	0.16667	0.06832	0.05208	0.05298	0.05211	
96885	0.16814	0.09589	0.07029	0.06383	0.06418	
98089	0.37500	0.19444	0.13725	0.12500	0.12000	
98250	0.21429	0.07692	0.08333	0.09091	0.10000	
98392	0.20548	0.12778	0.09412	0.09810	0.09863	
98745	0.33721	0.26639	0.19744	0.15039	0.12800	
Average	0.33069	0.27477	0.23377	0.22107	0.22970	
Total time taken= 576.34 seconds
