File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
00314	0.34426	0.30822	0.23671	0.19531	0.17000	
00405	0.73333	0.96667	1.02381	0.96154	0.90000	
00486	0.30000	0.12903	0.12644	0.12963	0.14167	
01018	0.31818	0.17857	0.15152	0.14919	0.14828	
02358	0.63158	0.68182	0.69697	0.66667	0.62000	
02571	0.56410	0.44444	0.32576	0.28571	0.24000	
02747	0.38462	0.07692	0.08333	0.09091	0.10000	
04954	0.27778	0.18103	0.15152	0.15686	0.16170	
05062	0.27273	0.28846	0.30000	0.29167	0.28696	
05146	0.37500	0.31633	0.17391	0.15476	0.14737	
05585	0.43333	0.27500	0.19583	0.16346	0.14667	
05765	0.37500	0.51923	0.44872	0.39423	0.38400	
08416	0.50000	0.41216	0.37387	0.35357	0.32121	
08512	0.36508	0.26506	0.20635	0.17988	0.17179	
08606	0.07692	0.07059	0.06911	0.05323	0.04247	
09329	0.78947	0.80000	0.59649	0.48611	0.47059	
09696	0.27778	0.24658	0.20000	0.20076	0.20000	
10184	0.41176	0.42105	0.34234	0.29286	0.29091	
10782	0.41667	0.72727	0.76667	0.77778	0.80000	
10995	0.46552	0.31081	0.23423	0.21181	0.20294	
11148	0.45161	0.36486	0.37143	0.33333	0.32903	
12251	0.50000	0.44231	0.40278	0.40909	0.43000	
12868	0.41935	0.28571	0.23232	0.21774	0.22759	
12957	0.43243	0.30851	0.21481	0.20930	0.20000	
13119	0.51111	0.40323	0.31694	0.28448	0.25926	
13419	0.31481	0.23387	0.16667	0.16071	0.15769	
15133	0.42857	0.53846	0.50000	0.45455	0.48000	
15357	0.39623	0.29365	0.27222	0.26754	0.25926	
16646	0.34524	0.23246	0.18391	0.15708	0.13945	
16656	0.37705	0.38312	0.33761	0.31757	0.29855	
16776	0.33898	0.28169	0.20588	0.18750	0.19310	
16929	0.42857	0.34783	0.26570	0.20221	0.18485	
16953	0.45946	0.41026	0.32456	0.31944	0.31765	
19552	0.47619	0.36957	0.36508	0.35526	0.37647	
21105	0.27273	0.55556	0.62500	0.71429	0.83333	
22703	0.45902	0.39024	0.33755	0.30000	0.27887	
23043	0.33333	0.12500	0.00000	0.00000	0.00000	
23051	0.41379	0.40260	0.28270	0.25333	0.22571	
23259	0.52941	0.50000	0.46667	0.50000	0.50769	
23663	0.46875	0.52941	0.44444	0.39844	0.37419	
23809	0.00000	0.00000	0.00000	0.00000	0.00000	
24152	0.31579	0.22464	0.19718	0.19565	0.18182	
24933	0.43750	0.36667	0.33333	0.34615	0.35000	
25133	0.38636	0.32292	0.28986	0.25581	0.25500	
25605	0.51515	0.46875	0.41379	0.45192	0.47826	
25717	0.41304	0.27778	0.18868	0.18137	0.17551	
27488	0.39535	0.22727	0.18590	0.20408	0.22174	
28076	0.33333	0.21429	0.17949	0.18750	0.20000	
28300	0.40000	0.25926	0.20000	0.15217	0.14286	
28391	0.33871	0.37302	0.41520	0.41146	0.44500	
28987	0.42857	0.26630	0.19858	0.17742	0.16044	
29089	0.23864	0.14831	0.09605	0.08407	0.07593	
29605	0.41667	0.91304	0.84848	0.83750	0.80000	
29772	0.65000	1.00000	1.11765	1.28333	1.38462	
30569	0.41379	0.32812	0.27083	0.24167	0.22222	
30680	0.29630	0.17692	0.08718	0.05328	0.04561	
32245	0.18182	0.05000	0.05882	0.07143	0.09091	
32785	0.48387	0.38571	0.25490	0.23438	0.21333	
32864	0.40351	0.41558	0.36036	0.30986	0.27647	
32902	0.22892	0.17453	0.13522	0.12379	0.11919	
32933	0.51515	0.54945	0.48772	0.42582	0.37931	
33131	0.51220	0.43000	0.42361	0.39130	0.36279	
34413	0.61538	0.67857	0.56410	0.52083	0.49091	
35595	0.40789	0.36321	0.28302	0.26500	0.24255	
35926	0.22917	0.15094	0.13333	0.12500	0.12857	
35929	0.31915	0.22807	0.15205	0.13426	0.12941	
36220	0.43750	0.27500	0.18333	0.15789	0.12222	
36236	0.28571	0.16667	0.13333	0.12500	0.13333	
36415	0.46296	0.33607	0.25000	0.20536	0.19615	
36631	0.47170	0.41803	0.35057	0.33636	0.33077	
36926	0.37879	0.35625	0.30342	0.30333	0.30556	
37604	0.48649	0.41463	0.30000	0.29054	0.28824	
37669	0.27536	0.24737	0.18996	0.16854	0.14588	
37700	0.37500	0.14286	0.16667	0.20000	0.25000	
38011	0.25714	0.20833	0.18750	0.18966	0.19231	
38184	0.35000	0.32500	0.36842	0.41176	0.45333	
38329	0.65385	0.70312	0.62626	0.58871	0.55862	
40395	0.30000	0.20635	0.20904	0.23148	0.24490	
41564	0.34091	0.14444	0.11111	0.09615	0.10000	
41590	0.44000	0.28333	0.13333	0.11207	0.07857	
42347	0.40299	0.37363	0.27473	0.24709	0.21975	
42383	0.26506	0.19802	0.15986	0.15000	0.15111	
42430	0.36667	0.34375	0.31183	0.32759	0.32593	
42635	0.65217	0.56250	0.46970	0.47500	0.48889	
42651	0.31579	0.11538	0.09649	0.09028	0.08235	
43080	0.60000	1.00000	1.00000	1.06250	1.10909	
43526	0.57143	2.37500	2.40000	2.68750	2.80000	
43547	0.47059	0.38506	0.32549	0.29375	0.27200	
44618	0.48529	0.52198	0.42697	0.35000	0.30370	
45124	0.28750	0.24242	0.20875	0.18011	0.16744	
45576	0.40476	0.30612	0.28369	0.29545	0.28293	
46701	0.19048	0.18750	0.23188	0.26136	0.26667	
46832	0.40000	0.40278	0.37143	0.34848	0.33548	
47369	0.39130	0.50000	0.57143	0.57895	0.61176	
47379	0.27273	0.19753	0.15385	0.15753	0.16119	
47444	0.42105	0.30000	0.24561	0.18056	0.17647	
47855	0.50000	0.36719	0.23118	0.23305	0.22500	
48011	0.50000	0.53659	0.38333	0.30263	0.27222	
49000	0.36735	0.25000	0.23636	0.23077	0.22857	
50078	0.20000	0.19231	0.21212	0.22500	0.24444	
51018	0.54286	0.45455	0.36667	0.28704	0.27200	
51867	0.28571	0.20000	0.21429	0.23077	0.26667	
51952	0.60000	0.53448	0.48276	0.40517	0.36552	
52979	0.29787	0.17969	0.13710	0.12924	0.12613	
53182	0.40741	0.31429	0.25822	0.23507	0.21613	
53447	0.40816	0.41818	0.36478	0.33333	0.31667	
53707	0.28070	0.29412	0.23039	0.20769	0.18361	
55107	0.33333	0.14286	0.20000	0.25000	0.33333	
55691	0.50000	0.70833	0.57576	0.52500	0.55556	
56614	0.53333	0.23077	0.27273	0.33333	0.42857	
56615	0.40000	0.63333	0.50000	0.50000	0.48333	
57197	0.25556	0.15487	0.11712	0.10238	0.09796	
57458	0.53333	1.25000	1.15385	1.14583	1.18182	
57557	0.30435	0.52174	0.60317	0.61842	0.64706	
57811	0.37288	0.35811	0.30137	0.29348	0.28308	
58978	0.51020	0.40769	0.34896	0.30738	0.28070	
59445	0.27632	0.18868	0.12381	0.10500	0.08632	
59728	0.50000	1.00000	1.16667	1.45000	1.75000	
60516	0.29630	0.53846	0.62319	0.71250	0.81176	
60524	0.45161	0.40789	0.28947	0.25676	0.23333	
61103	0.56522	0.43750	0.31944	0.27174	0.22727	
61395	0.40000	0.39062	0.24731	0.25000	0.25926	
61511	0.70000	0.65686	0.56463	0.48936	0.40889	
62046	0.50000	0.85714	0.80000	0.72368	0.65556	
62103	0.43939	0.28333	0.18280	0.16667	0.15116	
62554	0.31148	0.24342	0.19718	0.18077	0.16897	
