File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
56614	0.53333	0.00000	0.00000	0.00000	0.00000	
56615	0.40000	0.13333	0.00000	0.00000	0.00000	
57197	0.25556	0.04425	0.00901	0.00000	0.00000	
57458	0.53333	0.07143	0.00000	0.00000	0.00000	
57557	0.30435	0.04348	0.00000	0.00000	0.00000	
57811	0.37288	0.16216	0.05479	0.02899	0.01538	
58978	0.51020	0.24615	0.12500	0.06557	0.03509	
59445	0.27632	0.08491	0.01905	0.01000	0.00000	
59728	0.50000	0.28571	0.00000	0.00000	0.00000	
60516	0.29630	0.03846	0.00000	0.00000	0.00000	
60524	0.45161	0.26316	0.10526	0.05405	0.02778	
61103	0.56522	0.29167	0.12500	0.04348	0.00000	
61395	0.40000	0.15625	0.00000	0.00000	0.00000	
61511	0.70000	0.33333	0.16327	0.08511	0.02222	
62046	0.50000	0.28571	0.10000	0.05263	0.00000	
62103	0.43939	0.12222	0.02151	0.01111	0.00000	
62554	0.31148	0.09211	0.04225	0.01538	0.00000	
62811	0.43902	0.20000	0.08000	0.04255	0.02273	
62823	0.30000	0.11765	0.02941	0.01515	0.00000	
63449	0.24000	0.04545	0.00000	0.00000	0.00000	
64006	0.41667	0.05479	0.00000	0.00000	0.00000	
64179	0.42000	0.19672	0.09677	0.04918	0.01695	
64255	0.18284	0.03196	0.01064	0.00217	0.00000	
64309	0.29412	0.02857	0.00000	0.00000	0.00000	
64820	0.42857	0.15385	0.05263	0.02778	0.00000	
65605	0.56667	0.25714	0.02941	0.00000	0.00000	
66388	0.15385	0.03371	0.00000	0.00000	0.00000	
67316	0.70588	0.27778	0.17647	0.12500	0.06667	
67662	0.43548	0.19780	0.11340	0.05208	0.02198	
67792	0.35000	0.09524	0.05263	0.00000	0.00000	
68013	0.45714	0.10256	0.02703	0.00000	0.00000	
69193	0.45161	0.17143	0.06061	0.03226	0.00000	
70100	0.30137	0.08081	0.02041	0.00000	0.00000	
70347	0.62500	0.22222	0.17647	0.12500	0.06667	
70627	0.39474	0.06383	0.00000	0.00000	0.00000	
70723	0.44444	0.25000	0.14286	0.00000	0.00000	
70847	0.29167	0.04167	0.00000	0.00000	0.00000	
70895	0.48837	0.40816	0.32653	0.24444	0.19512	
70976	0.32258	0.00000	0.00000	0.00000	0.00000	
73543	0.22222	0.00000	0.00000	0.00000	0.00000	
73825	0.50000	0.24390	0.09524	0.02500	0.00000	
74848	0.35714	0.13889	0.05479	0.02817	0.01449	
75348	0.60000	0.25000	0.00000	0.00000	0.00000	
75839	0.35849	0.04615	0.03175	0.01724	0.00000	
76453	0.38889	0.19512	0.09756	0.05128	0.02703	
76769	0.40385	0.15254	0.05357	0.01923	0.00000	
76784	0.37255	0.13559	0.05085	0.01786	0.00000	
77404	0.39286	0.11538	0.08696	0.04762	0.00000	
77559	0.30000	0.14286	0.02941	0.00000	0.00000	
77997	0.25806	0.00000	0.00000	0.00000	0.00000	
78329	0.36842	0.12857	0.06061	0.01613	0.00000	
78839	0.35000	0.14286	0.05000	0.00000	0.00000	
78857	0.24528	0.03448	0.00000	0.00000	0.00000	
79970	0.48571	0.12195	0.07317	0.02500	0.00000	
80286	0.45070	0.14444	0.03488	0.00000	0.00000	
80379	0.46512	0.17647	0.08163	0.02174	0.00000	
81392	0.33750	0.13131	0.03061	0.00000	0.00000	
81394	0.40351	0.10448	0.01538	0.00000	0.00000	
81446	0.36585	0.08696	0.00000	0.00000	0.00000	
81572	0.27451	0.10000	0.03509	0.00000	0.00000	
82988	0.46429	0.17647	0.06250	0.00000	0.00000	
84359	0.62500	0.28571	0.20000	0.00000	0.00000	
84413	0.32609	0.11111	0.04762	0.01613	0.00000	
84712	0.26250	0.09346	0.02586	0.01739	0.00893	
84981	0.68750	0.25000	0.18750	0.06250	0.00000	
84999	0.35556	0.03636	0.00000	0.00000	0.00000	
85172	0.42857	0.00000	0.00000	0.00000	0.00000	
85964	0.40000	0.05000	0.00000	0.00000	0.00000	
86416	0.35135	0.13542	0.04301	0.01136	0.00000	
86654	0.62500	0.35135	0.17143	0.12121	0.06452	
87072	0.40000	0.13636	0.00000	0.00000	0.00000	
87850	0.29000	0.04688	0.00763	0.00000	0.00000	
89529	0.35135	0.16279	0.07317	0.05128	0.02778	
89933	0.27848	0.12500	0.03093	0.00000	0.00000	
89943	0.30000	0.06667	0.00901	0.00000	0.00000	
90078	0.31944	0.06383	0.00000	0.00000	0.00000	
90364	0.75000	0.66667	0.54545	0.50000	0.44444	
90735	0.43478	0.15686	0.04167	0.00000	0.00000	
91020	0.30769	0.15748	0.06504	0.02542	0.00893	
91166	0.33333	0.09091	0.02381	0.00000	0.00000	
91797	0.28846	0.13235	0.01408	0.00000	0.00000	
92667	0.55319	0.17241	0.04918	0.01724	0.00000	
