File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
00314	0.27869	0.12329	0.04348	0.01562	0.00000	
00405	0.53333	0.26667	0.21429	0.07692	0.00000	
00486	0.23333	0.00000	0.00000	0.00000	0.00000	
01018	0.28788	0.02857	0.00000	0.00000	0.00000	
02358	0.57895	0.36364	0.22727	0.09524	0.00000	
02571	0.43590	0.13333	0.00000	0.00000	0.00000	
02747	0.23077	0.00000	0.00000	0.00000	0.00000	
04954	0.18519	0.01724	0.00000	0.00000	0.00000	
05062	0.22727	0.03846	0.00000	0.00000	0.00000	
05146	0.17500	0.08163	0.00000	0.00000	0.00000	
05585	0.41667	0.16250	0.05000	0.01282	0.00000	
05765	0.37500	0.15385	0.03846	0.00000	0.00000	
08416	0.37500	0.22973	0.14865	0.12857	0.10606	
08512	0.26984	0.13253	0.07143	0.03659	0.02564	
08606	0.06923	0.02941	0.02439	0.01290	0.00685	
09329	0.78947	0.35000	0.10526	0.00000	0.00000	
09696	0.18519	0.02740	0.00000	0.00000	0.00000	
10184	0.32353	0.15789	0.05405	0.00000	0.00000	
10782	0.41667	0.00000	0.00000	0.00000	0.00000	
10995	0.25862	0.06757	0.01351	0.00000	0.00000	
11148	0.35484	0.00000	0.00000	0.00000	0.00000	
12251	0.38462	0.11538	0.00000	0.00000	0.00000	
12868	0.35484	0.05714	0.00000	0.00000	0.00000	
12957	0.29730	0.08511	0.00000	0.00000	0.00000	
13119	0.42222	0.19355	0.09836	0.03448	0.00000	
13419	0.25926	0.06452	0.00000	0.00000	0.00000	
15133	0.28571	0.07692	0.00000	0.00000	0.00000	
15357	0.30189	0.04762	0.00000	0.00000	0.00000	
16646	0.23810	0.08772	0.04310	0.03540	0.02752	
16656	0.29508	0.10390	0.03846	0.01351	0.00000	
16776	0.30508	0.14085	0.02941	0.00000	0.00000	
16929	0.35714	0.11594	0.04348	0.00000	0.00000	
16953	0.40541	0.10256	0.00000	0.00000	0.00000	
19552	0.38095	0.08696	0.04762	0.00000	0.00000	
21105	0.18182	0.00000	0.00000	0.00000	0.00000	
22703	0.40984	0.24390	0.16456	0.12000	0.09859	
23043	0.33333	0.12500	0.00000	0.00000	0.00000	
23051	0.31034	0.14286	0.01266	0.00000	0.00000	
23259	0.41176	0.06250	0.00000	0.00000	0.00000	
23663	0.40625	0.14706	0.00000	0.00000	0.00000	
23809	0.00000	0.00000	0.00000	0.00000	0.00000	
24152	0.28070	0.01449	0.00000	0.00000	0.00000	
24933	0.43750	0.00000	0.00000	0.00000	0.00000	
25133	0.36364	0.10417	0.02174	0.00000	0.00000	
25605	0.36364	0.06250	0.00000	0.00000	0.00000	
25717	0.32609	0.09259	0.00000	0.00000	0.00000	
27488	0.34884	0.05455	0.00000	0.00000	0.00000	
28076	0.33333	0.07143	0.00000	0.00000	0.00000	
28300	0.36000	0.14815	0.04000	0.00000	0.00000	
28391	0.32258	0.09524	0.05263	0.00000	0.00000	
28987	0.38571	0.14130	0.05319	0.02151	0.00000	
29089	0.13636	0.04237	0.00847	0.00000	0.00000	
29605	0.20833	0.00000	0.00000	0.00000	0.00000	
29772	0.60000	0.31579	0.17647	0.06667	0.00000	
30569	0.34483	0.15625	0.09375	0.06667	0.03704	
30680	0.12963	0.06154	0.01538	0.00000	0.00000	
32245	0.13636	0.00000	0.00000	0.00000	0.00000	
32785	0.25806	0.11429	0.00000	0.00000	0.00000	
32864	0.21053	0.11688	0.08108	0.05634	0.04412	
32902	0.19277	0.04717	0.00943	0.00000	0.00000	
32933	0.48485	0.30769	0.23158	0.17582	0.13793	
33131	0.46341	0.22000	0.16667	0.10870	0.06977	
34413	0.61538	0.28571	0.07692	0.00000	0.00000	
35595	0.32895	0.13208	0.02830	0.01000	0.00000	
35926	0.20833	0.03774	0.02000	0.00000	0.00000	
35929	0.23404	0.08772	0.00000	0.00000	0.00000	
36220	0.37500	0.20000	0.10000	0.05263	0.00000	
36236	0.28571	0.00000	0.00000	0.00000	0.00000	
36415	0.44444	0.19672	0.08333	0.01786	0.00000	
36631	0.35849	0.08197	0.01724	0.00000	0.00000	
36926	0.27273	0.05000	0.01282	0.00000	0.00000	
37604	0.43243	0.09756	0.00000	0.00000	0.00000	
37669	0.21739	0.07368	0.02151	0.01124	0.00000	
37700	0.37500	0.00000	0.00000	0.00000	0.00000	
38011	0.22857	0.02778	0.00000	0.00000	0.00000	
38184	0.30000	0.10000	0.05263	0.00000	0.00000	
38329	0.65385	0.34375	0.24242	0.16129	0.13793	
40395	0.26000	0.01587	0.00000	0.00000	0.00000	
41564	0.25000	0.06667	0.02381	0.00000	0.00000	
41590	0.44000	0.20000	0.06667	0.03448	0.00000	
42347	0.35821	0.14286	0.03297	0.01163	0.00000	
42383	0.24096	0.05941	0.01020	0.00000	0.00000	
42430	0.33333	0.06250	0.00000	0.00000	0.00000	
42635	0.65217	0.16667	0.00000	0.00000	0.00000	
42651	0.26316	0.00000	0.00000	0.00000	0.00000	
43080	0.53333	0.28571	0.07692	0.00000	0.00000	
43526	0.50000	0.25000	0.10000	0.00000	0.00000	
43547	0.36765	0.13793	0.07059	0.05000	0.04000	
44618	0.32353	0.15385	0.05618	0.01176	0.00000	
45124	0.21250	0.06061	0.02020	0.00000	0.00000	
45576	0.35714	0.12245	0.06383	0.04545	0.02439	
46701	0.19048	0.00000	0.00000	0.00000	0.00000	
46832	0.34286	0.02778	0.00000	0.00000	0.00000	
47369	0.34783	0.00000	0.00000	0.00000	0.00000	
