File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
00314	0.32787	0.30822	0.23671	0.19531	0.17000	
00405	0.60000	0.76667	0.78571	0.71154	0.65000	
00486	0.26667	0.09677	0.09195	0.09259	0.10000	
01018	0.30303	0.16429	0.13636	0.13306	0.13103	
02358	0.63158	0.65909	0.62121	0.55952	0.51000	
02571	0.48718	0.30000	0.16667	0.16071	0.15500	
02747	0.30769	0.00000	0.00000	0.00000	0.00000	
04954	0.27778	0.16379	0.13333	0.13725	0.14043	
05062	0.25000	0.21154	0.20000	0.19271	0.19565	
05146	0.25000	0.22449	0.13043	0.11310	0.11053	
05585	0.43333	0.27500	0.19583	0.16346	0.14667	
05765	0.37500	0.51923	0.41026	0.35577	0.34400	
08416	0.41071	0.31081	0.27027	0.25714	0.23939	
08512	0.31746	0.21687	0.15873	0.13110	0.12308	
08606	0.07692	0.06471	0.06301	0.04677	0.03562	
09329	0.78947	0.77500	0.54386	0.43056	0.41176	
09696	0.22222	0.19863	0.16190	0.16288	0.16129	
10184	0.41176	0.39474	0.31532	0.26429	0.26061	
10782	0.41667	0.72727	0.76667	0.77778	0.80000	
10995	0.29310	0.17568	0.12613	0.12153	0.12647	
11148	0.38710	0.25676	0.27619	0.25758	0.25161	
12251	0.42308	0.42308	0.38889	0.39773	0.42000	
12868	0.41935	0.25714	0.20202	0.18548	0.19310	
12957	0.37838	0.28723	0.21481	0.20930	0.20000	
13119	0.48889	0.37097	0.28962	0.25862	0.23333	
13419	0.25926	0.19355	0.12778	0.12054	0.11538	
15133	0.42857	0.50000	0.41667	0.36364	0.38000	
15357	0.39623	0.29365	0.26667	0.25877	0.24815	
16646	0.27381	0.17982	0.14655	0.12611	0.11560	
16656	0.32787	0.29870	0.26496	0.25338	0.23188	
16776	0.33898	0.26761	0.18627	0.16406	0.16552	
16929	0.37500	0.28986	0.22222	0.17279	0.15758	
16953	0.45946	0.35897	0.26316	0.25694	0.25294	
19552	0.47619	0.32609	0.31746	0.30263	0.31765	
21105	0.27273	0.44444	0.50000	0.57143	0.66667	
22703	0.44262	0.37805	0.31224	0.26667	0.24507	
23043	0.33333	0.12500	0.00000	0.00000	0.00000	
23051	0.31034	0.27273	0.16456	0.15000	0.14000	
23259	0.52941	0.50000	0.46667	0.50000	0.50769	
23663	0.40625	0.45588	0.37374	0.33594	0.31613	
23809	0.00000	0.00000	0.00000	0.00000	0.00000	
24152	0.29825	0.22464	0.19718	0.19565	0.18182	
24933	0.43750	0.33333	0.28571	0.26923	0.26667	
25133	0.38636	0.29167	0.23188	0.20930	0.21500	
25605	0.48485	0.35938	0.34483	0.37500	0.39130	
