File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
25717	0.34783	0.25926	0.16352	0.15196	0.14286	
27488	0.39535	0.21818	0.16026	0.16837	0.17826	
28076	0.33333	0.21429	0.17949	0.18750	0.20000	
28300	0.40000	0.25926	0.20000	0.15217	0.14286	
28391	0.33871	0.35714	0.39766	0.39062	0.42000	
28987	0.40000	0.23370	0.16667	0.14516	0.12747	
29089	0.19318	0.12288	0.07627	0.06416	0.05556	
29605	0.20833	0.76087	0.72727	0.71250	0.66667	
29772	0.65000	0.92105	0.98039	1.08333	1.12308	
30569	0.37931	0.28125	0.22917	0.20833	0.19259	
30680	0.25926	0.13846	0.06154	0.04098	0.03509	
32245	0.18182	0.05000	0.05882	0.07143	0.09091	
32785	0.45161	0.34286	0.22549	0.20312	0.18000	
32864	0.26316	0.28571	0.25225	0.23239	0.21765	
32902	0.22892	0.14151	0.10377	0.09223	0.08889	
32933	0.51515	0.54945	0.48772	0.42582	0.37931	
33131	0.51220	0.39000	0.38194	0.35326	0.32558	
34413	0.61538	0.67857	0.56410	0.52083	0.49091	
35595	0.35526	0.32075	0.24528	0.22750	0.20638	
35926	0.20833	0.11321	0.11333	0.10326	0.10476	
35929	0.31915	0.21053	0.12281	0.10185	0.09412	
36220	0.37500	0.22500	0.13333	0.10526	0.06667	
36236	0.28571	0.16667	0.13333	0.12500	0.13333	
36415	0.46296	0.32787	0.23333	0.18750	0.17692	
36631	0.47170	0.40164	0.32759	0.31364	0.30000	
36926	0.30303	0.30625	0.26496	0.26333	0.26389	
37604	0.48649	0.39024	0.27500	0.26351	0.25882	
37669	0.26087	0.22105	0.16846	0.14607	0.12706	
37700	0.37500	0.14286	0.16667	0.20000	0.25000	
38011	0.22857	0.12500	0.10417	0.10345	0.10769	
38184	0.30000	0.27500	0.31579	0.33824	0.36000	
38329	0.65385	0.67188	0.58586	0.53226	0.51034	
40395	0.28000	0.19048	0.19209	0.21296	0.22449	
41564	0.29545	0.12222	0.08730	0.07051	0.07222	
41590	0.44000	0.25000	0.10000	0.07759	0.04286	
42347	0.38806	0.32418	0.22711	0.20349	0.18025	
42383	0.25301	0.18812	0.14966	0.13947	0.14000	
42430	0.36667	0.34375	0.31183	0.32759	0.32593	
42635	0.65217	0.56250	0.46970	0.47500	0.48889	
42651	0.28947	0.05128	0.04386	0.04167	0.04118	
43080	0.53333	0.82143	0.76923	0.79167	0.83636	
43526	0.50000	1.75000	1.83333	2.03125	2.11429	
43547	0.45588	0.31034	0.25490	0.23750	0.22400	
44618	0.45588	0.46154	0.37079	0.30294	0.25679	
45124	0.27500	0.21212	0.17845	0.14785	0.13256	
45576	0.40476	0.27551	0.24113	0.24432	0.22927	
46701	0.19048	0.10417	0.14493	0.17045	0.17143	
46832	0.40000	0.40278	0.37143	0.34848	0.33548	
47369	0.34783	0.41304	0.47619	0.48684	0.51765	
47379	0.25758	0.15432	0.11111	0.11644	0.11940	
47444	0.42105	0.25000	0.19298	0.13889	0.14118	
47855	0.42000	0.32031	0.19892	0.19915	0.18929	
48011	0.46875	0.46341	0.32500	0.26974	0.24444	
49000	0.32653	0.23276	0.21818	0.21154	0.20816	
50078	0.13333	0.11538	0.12121	0.12500	0.13333	
51018	0.45714	0.39394	0.33333	0.28704	0.27200	
51867	0.28571	0.20000	0.21429	0.23077	0.26667	
51952	0.56000	0.46552	0.41379	0.33621	0.29655	
52979	0.26596	0.16016	0.12097	0.11864	0.11532	
53182	0.37037	0.22857	0.18779	0.16791	0.14839	
53447	0.38776	0.36364	0.30189	0.26961	0.25417	
53707	0.22807	0.21324	0.15196	0.13846	0.12459	
55107	0.33333	0.00000	0.00000	0.00000	0.00000	
55691	0.50000	0.70833	0.57576	0.52500	0.55556	
56614	0.53333	0.23077	0.27273	0.33333	0.42857	
56615	0.40000	0.56667	0.42857	0.42308	0.41667	
57197	0.23333	0.11504	0.07808	0.06429	0.06122	
57458	0.46667	0.92857	0.89744	0.87500	0.89091	
57557	0.30435	0.43478	0.46032	0.48684	0.51765	
57811	0.35593	0.32432	0.24658	0.23551	0.22769	
58978	0.51020	0.39231	0.33333	0.29098	0.26316	
59445	0.23684	0.16038	0.11111	0.09250	0.07368	
59728	0.33333	0.78571	0.94444	1.20000	1.45000	
60516	0.22222	0.46154	0.53623	0.61250	0.69412	
60524	0.45161	0.38158	0.24561	0.20270	0.17222	
61103	0.52174	0.39583	0.27778	0.22826	0.18182	
61395	0.36667	0.32812	0.18280	0.18103	0.18519	
61511	0.70000	0.65686	0.56463	0.48936	0.40889	
62046	0.35000	0.54762	0.51667	0.50000	0.48889	
62103	0.42424	0.26111	0.16846	0.15000	0.13256	
62554	0.31148	0.23026	0.18310	0.16538	0.15172	
62811	0.43902	0.41000	0.30667	0.27128	0.24091	
62823	0.26000	0.19853	0.14216	0.12500	0.10938	
63449	0.24000	0.14205	0.09921	0.09810	0.10137	
64006	0.40000	0.28082	0.23474	0.22426	0.21538	
64179	0.34000	0.27049	0.20968	0.16803	0.14915	
64255	0.17164	0.08904	0.06596	0.05748	0.05324	
64309	0.26471	0.07143	0.03030	0.02419	0.02069	
64820	0.42857	0.24359	0.16667	0.14583	0.12353	
65605	0.56667	0.55714	0.43137	0.38281	0.35333	
66388	0.13846	0.10112	0.08070	0.08152	0.08182	
67316	0.70588	0.52778	0.52941	0.51562	0.49333	
67662	0.38710	0.31868	0.27148	0.20833	0.17582	
67792	0.35000	0.28571	0.26316	0.25000	0.26667	
68013	0.42857	0.28205	0.30631	0.30714	0.31515	
69193	0.41935	0.40000	0.32323	0.29032	0.25517	
70100	0.28767	0.24747	0.19728	0.19022	0.18605	
70347	0.56250	0.66667	0.64706	0.59375	0.56000	
70627	0.36842	0.21277	0.17778	0.19186	0.19512	
70723	0.44444	1.18750	1.28571	1.45833	1.72000	
70847	0.29167	0.45833	0.46032	0.35526	0.34444	
70895	0.46512	0.57143	0.53741	0.50556	0.47805	
70976	0.32258	0.17143	0.18182	0.18548	0.19310	
73543	0.22222	0.12500	0.14286	0.16667	0.20000	
73825	0.43750	0.35366	0.27778	0.22500	0.20526	
74848	0.33929	0.26389	0.21005	0.18662	0.15942	
75348	0.60000	1.37500	1.55556	2.12500	4.00000	
75839	0.32075	0.29231	0.25397	0.24569	0.23019	
76453	0.36111	0.30488	0.30081	0.32051	0.27568	
76769	0.36538	0.25424	0.19048	0.17308	0.16596	
76784	0.31373	0.23729	0.19774	0.17857	0.16604	
77404	0.35714	0.32692	0.33333	0.33333	0.31579	
77559	0.26667	0.31429	0.25490	0.23438	0.24000	
77997	0.22581	0.06250	0.06667	0.07143	0.07692	
78329	0.33333	0.25714	0.24747	0.21371	0.20702	
78839	0.35000	0.35714	0.31667	0.28947	0.30000	
78857	0.22642	0.09483	0.06548	0.06132	0.05600	
79970	0.42857	0.30488	0.25203	0.21250	0.21053	
80286	0.42254	0.32222	0.26744	0.24085	0.23038	
80379	0.37209	0.36275	0.29932	0.25000	0.23721	
81392	0.27500	0.23737	0.17687	0.16576	0.16512	
81394	0.40351	0.25373	0.21538	0.21721	0.21404	
81446	0.31707	0.33696	0.29365	0.29730	0.30625	
81572	0.23529	0.14167	0.11111	0.10849	0.11020	
82988	0.46429	0.45588	0.35417	0.30833	0.30000	
84359	0.62500	1.71429	2.33333	1.33333	2.00000	
84413	0.32609	0.21429	0.16402	0.14919	0.14237	
84712	0.20000	0.17290	0.10920	0.09783	0.08750	
84981	0.68750	0.59375	0.52083	0.46875	0.41250	
84999	0.33333	0.13636	0.14379	0.16489	0.18605	
85172	0.42857	0.00000	0.00000	0.00000	0.00000	
85964	0.40000	0.30000	0.26316	0.27941	0.30667	
86416	0.35135	0.31250	0.24373	0.21307	0.20000	
86654	0.56250	0.54054	0.41905	0.37121	0.31613	
87072	0.40000	0.36364	0.31667	0.23611	0.23750	
87850	0.27000	0.14844	0.10941	0.09180	0.08130	
89529	0.35135	0.30233	0.24390	0.22436	0.19444	
89933	0.27848	0.18229	0.12371	0.09890	0.09524	
89943	0.27143	0.16190	0.10511	0.08257	0.07048	
90078	0.25000	0.21809	0.18116	0.17330	0.16235	
90364	0.75000	1.04167	0.96970	0.97500	1.00000	
90735	0.32609	0.22549	0.18056	0.15000	0.15714	
91020	0.28571	0.34252	0.29268	0.25636	0.21964	
91166	0.25000	0.13636	0.07143	0.06579	0.06471	
91797	0.26923	0.17647	0.07981	0.06923	0.07119	
92667	0.53191	0.37931	0.26230	0.22845	0.21091	
92675	0.39726	0.26543	0.20940	0.20270	0.20000	
93075	0.34000	0.24576	0.19883	0.17593	0.18039	
93142	0.25714	0.11538	0.10526	0.11111	0.11176	
94177	0.22549	0.17834	0.12083	0.10191	0.08609	
94576	0.32075	0.21739	0.17391	0.14552	0.13333	
94649	0.46341	0.42708	0.33333	0.29070	0.27692	
95429	0.26923	0.16071	0.11111	0.11538	0.12000	
95465	0.40000	0.33333	0.41667	0.53571	0.63333	
95759	0.35556	0.31148	0.22059	0.19286	0.18824	
96215	0.43750	0.38235	0.29167	0.26667	0.24286	
96790	0.18421	0.09317	0.07917	0.07616	0.06901	
96885	0.20354	0.13356	0.10204	0.09397	0.09403	
98089	0.43750	0.30556	0.23529	0.23438	0.22667	
98250	0.21429	0.07692	0.08333	0.09091	0.10000	
98392	0.27397	0.16667	0.12549	0.12975	0.12877	
98745	0.41860	0.35246	0.26667	0.20508	0.16800	
Average	0.36944	0.33215	0.29110	0.27706	0.28681	
Total time taken= 581.16 seconds
